;Jornada 1;Jornada 2;Jornada 3;Jornada 4;Jornada 5;Jornada 6;Jornada 7;Jornada 8;Jornada 9;Jornada 10;Jornada 11;Jornada 12;Jornada 13;Jornada 14;Jornada 15;Jornada 16;Jornada 17;Jornada 18;Jornada 19;Jornada 20;Jornada 21;Jornada 22;Jornada 23;Jornada 24;Jornada 25;Jornada 26;Jornada 27;Jornada 28;Jornada 29;Jornada 30
Atletico de Bilbao;0;1;0;1;1;1;0;1;2;0;1;1;1;1;0;2;1;1;2;1;1;1;1;2;1;1;0;0;1;1
Atletico de Bilbao;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;1;0;0;1;0;1;0;1;0;1;0;1;0;1;0
Atletico de Madrid;0;1;2;1;2;1;0;0;1;1;0;1;0;1;1;1;1;1;1;1;2;1;1;1;0;1;2;1;0;0
Atletico de Madrid;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0
Barcelona;0;1;0;1;2;1;2;2;2;1;1;1;2;1;1;2;2;1;1;0;2;2;0;1;2;1;2;1;1;0
Barcelona;1;0;1;0;1;0;1;0;1;0;1;0;1;1;0;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1
CD Malaga;0;1;1;1;0;2;1;0;0;0;1;0;2;1;0;1;0;1;0;0;0;2;1;1;2;1;2;1;0;1
CD Malaga;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;0;1;0;1;0;1;0;1;0;1;0;1;1;0;1
Celta de Vigo;1;1;0;1;1;0;2;1;0;1;1;1;1;1;2;1;0;1;1;1;1;1;1;1;2;1;1;1;1;0
Celta de Vigo;0;1;0;1;0;1;1;0;1;0;1;0;1;0;1;1;0;1;0;1;0;0;1;0;1;0;1;0;1;0
Elche;0;1;1;1;2;1;0;0;0;1;0;0;0;2;1;1;2;1;0;0;2;1;1;1;0;1;1;2;1;1
Elche;0;1;0;1;0;1;0;1;0;1;1;0;1;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0
Espanol;2;1;0;2;0;1;0;1;0;1;1;0;1;2;1;1;1;1;1;0;2;1;1;0;2;0;1;0;1;1
Espanol;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;1;0
Granada;0;1;1;0;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;1;0;1;1;2;1;0;0;1;2
Granada;1;0;1;0;1;0;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;1;0;1;0;1;0;1
Las Palmas;0;1;0;0;0;1;2;1;0;2;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;2;0;1;0
Las Palmas;0;1;0;0;1;1;0;0;1;0;0;1;1;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;0
Real Madrid;1;1;1;0;0;2;2;0;2;2;1;0;0;2;1;1;1;1;1;2;0;2;1;2;1;1;1;2;1;0
Real Madrid;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1
Real Sociedad;0;1;0;0;0;1;1;1;1;0;1;1;1;1;2;1;2;1;1;0;1;0;1;1;2;1;2;0;1;0
Real Sociedad;1;0;1;0;1;0;1;1;0;1;0;1;0;1;0;0;1;0;1;0;1;0;0;1;0;1;0;1;0;1
Sabadell;0;1;1;1;2;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;2;1;2
Sabadell;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;1;0;1;0;1;0;1;1;0;1;0;1;0
Sevilla;2;1;2;0;1;1;0;0;2;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1;1;1;1;1
Sevilla;1;0;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;0;1;0;1;0;1;0;1;0;1;0;1
Sporting de Gijon;1;1;1;2;0;2;0;1;1;2;1;1;0;1;0;1;1;1;1;2;1;1;1;1;1;1;2;1;1;0
Sporting de Gijon;1;0;1;0;1;0;1;0;1;1;0;1;0;1;0;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1
Valencia;1;1;2;0;0;2;1;2;1;0;1;1;1;2;1;1;0;0;1;0;1;2;0;1;1;2;1;2;1;1
Valencia;1;0;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1
Zaragoza;0;1;2;1;0;0;1;0;0;2;1;1;1;1;0;1;2;1;2;1;1;1;1;0;1;2;1;0;1;0
Zaragoza;0;1;0;1;0;0;1;0;1;0;1;0;1;0;1;1;0;1;0;1;1;0;1;0;1;0;1;0;1;0
